"0","# create matrix"
"0","mylinks <- as.matrix(links)"
"0",""
"0","lower_triangular <- lower.tri(mylinks)"
"0","mylinks[upper.tri(mylinks)] <- 0"
"0","print(mylinks)"
"1","         "
"1"," Hazard"
"1"," System"
"1"," Goal"
"1"," Objective"
"1"," Action"
"1"," Indicator"
"1","
Hazard   "
"1","      0"
"1","      0"
"1","    0"
"1","         0"
"1","      0"
"1","         0"
"1","
System   "
"1","     53"
"1","      0"
"1","    0"
"1","         0"
"1","      0"
"1","         0"
"1","
Goal     "
"1","     12"
"1","     22"
"1","    0"
"1","         0"
"1","      0"
"1","         0"
"1","
Objective"
"1","     29"
"1","     27"
"1","   24"
"1","         0"
"1","      0"
"1","         0"
"1","
Action   "
"1","     45"
"1","     42"
"1","   29"
"1","        23"
"1","      0"
"1","         0"
"1","
Indicator"
"1","     17"
"1","     12"
"1","   16"
"1","        10"
"1","     13"
"1","         0"
"1","
"
"0","# Set colors for the plot"
"0","set.seed(999)"
"0","colors <- c(""Hazard"" = ""#c7eae5"", "
"0","            ""System at risk"" =  ""#5ab4ac"","
"0","            ""Goal"" = ""#01665e"","
"0","            ""Objective"" =  ""#8c510a"", "
"0","            ""Action"" = ""#d8b365"","
"0","            ""Indicator"" = ""#f6e8c3"")"
"0",""
"0","# Create an image to store the graphic data. Adjust the file path to "
"0","png(""C:/Users/anowak/OneDrive - CGIAR/PhD/Ch1/Results/Fig3.png"", width = 4, height = 4, units = ""in"", res = 330, bg = ""transparent"") #create the image to store the plot"
"0",""
"0","# Plot"
"0","circos.par(gap.after = 10)"
"0","circos.par(start.degree = 20) #to start with Hazards "
"0","par(mar = c(1, 1, 1, 1))  # Adjust the margins"
"0","par(cex = 0.8)"
"0","chordDiagram(mylinks, column.col = colors, grid.col = colors, transparency = 0.3, annotationTrack = ""grid"", annotationTrackHeight = mm_h(1))"
