"0","# subset data for agriculture (food, fiber and other ecosystem products)"
"0","agadapt <- adaptdata[adaptdata$SectorType %in% c(""Food, fiber, other ecosystem products""), ]"
"0",""
"0","# how many countries mention an element type"
"0","n_cty_element_ag <- agadapt  %>%"
"0","  group_by(Element) %>%"
"0","  summarise(nCountries = n_distinct(Country)) %>%"
"0","  arrange(-nCountries)"
"0",""
"0","# how many observations per element"
"0","n_elem_type_ag <- agadapt %>%"
"0","  count(Element, name=""Elements"")"
"0",""
"0","# merge datasets"
"0","merged_df_ag <- merge(n_cty_element_ag, n_elem_type_ag, all = TRUE)"
